,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,title,authors,n_citation,doi,url,pdf,conf,fos,year,pool,topic,labels
3467,3467,3467,3467,39813.0,Reinforcement Learning with Factored States and Actions,Brian SallansGeoffrey E. Hinton ; ,100,,,,Journal of Machine Learning Research,Mathematical optimization=0.46397 ; Markov chain Monte Carlo=0.55879 ; Markov model=0.57651 ; Markov chain=0.5636 ; Markov decision process=0.56587 ; Q-learning=0.60384 ; Product of experts=0.58759 ; Artificial intelligence=0.0 ; Graphical model=0.53743 ; Mathematics=0.41277 ; Machine learning=0.44936 ; Reinforcement learning=0.53912 ; ,2004,A,ML,ml
3468,3468,3468,3468,39814.0,Propositional logic of context,Saša BuvačIan A. Mason ; ,147,,,,National Conference on Artificial Intelligence,Autoepistemic logic=0.66768 ; Computer science=0.43231 ; Zeroth-order logic=0.67397 ; Decidability=0.64365 ; Artificial intelligence=0.0 ; Resolution (logic)=0.6586 ; Well-formed formula=0.71521 ; Algebra=0.45286 ; Algorithm=0.41983 ; Complete theory=0.66156 ; Propositional formula=0.66407 ; Machine learning=0.41656 ; Propositional variable=0.7586 ; ,1993,C,ML,ml
3469,3469,3469,3469,39815.0,Implicit ordering of defaults in inheritance systems,David S. Touretzky,105,,,,National Conference on Artificial Intelligence,Computer science=0.44863 ; Theoretical computer science=0.45909 ; Semantic network=0.52091 ; Default=0.40192 ; Artificial intelligence=0.0 ; Partially ordered set=0.47112 ; Machine learning=0.43878 ; Multiple inheritance=0.59107 ; ,1984,C,ML,ml
3470,3470,3470,3470,39824.0,Subgroup Analysis via Recursive Partitioning,Xiaogang SuChih-Ling Tsai ; Hansheng Wang ; David M. Nickerson ; Bogong Li ; ,185,10.2139/ssrn.1341380,,,Journal of Machine Learning Research,Cart=0.43276 ; Recursive partitioning=0.63035 ; Subgroup analysis=0.55275 ; Tree structure=0.54009 ; Treatment effect=0.0 ; Statistics=0.444 ; Random forest=0.53938 ; Mathematics=0.41768 ; Wage=0.43103 ; ,2009,A,None,mo
3471,3471,3471,3471,39836.0,Information Extraction with HMM Structures Learned by Stochastic Optimization,Dayne FreitagAndrew McCallum ; ,270,,,,National Conference on Artificial Intelligence,Stochastic optimization=0.5712 ; Pattern recognition=0.4739 ; Computer science=0.45224 ; Markov model=0.58022 ; Information extraction=0.53517 ; Artificial intelligence=0.0 ; Almost surely=0.4522 ; Hidden Markov model=0.57726 ; Machine learning=0.46939 ; Hidden semi-Markov model=0.58619 ; ,2000,C,AI,ml
3472,3472,3472,3472,39842.0,Learning To Count Objects in Images,Victor LempitskyAndrew Zisserman ; ,433,,,,Neural Information Processing Systems,Computer vision=0.47806 ; Semi-supervised learning=0.62307 ; Computer science=0.44992 ; Maximum subarray problem=0.49342 ; Feature extraction=0.57319 ; Regular polygon=0.43481 ; Supervised learning=0.60584 ; Minification=0.46759 ; Artificial intelligence=0.0 ; Integral element=0.41839 ; Quadratic programming=0.51802 ; Machine learning=0.46434 ; ,2010,A,ML,ml
3473,3473,3473,3473,39851.0,Sparse Representation for Signal Classification,Ke HuangSelin Aviyente ; ,491,,,,Neural Information Processing Systems,Noise reduction=0.47373 ; K-SVD=0.63342 ; Pattern recognition=0.4742 ; Computer science=0.42532 ; Sparse approximation=0.64327 ; Outlier=0.46463 ; Coding (social sciences)=0.45966 ; Artificial intelligence=0.0 ; Missing data=0.47266 ; Discriminative model=0.54658 ; Signal reconstruction=0.58407 ; Machine learning=0.45235 ; ,2006,A,ML,ml
3474,3474,3474,3474,39858.0,Margin Analysis of the LVQ Algorithm,Koby CrammerRan Gilad-bachrach ; Amir Navot ; Naftali Tishby ; ,183,,,,Neural Information Processing Systems,Linde–Buzo–Gray algorithm=0.6224 ; Computer science=0.45069 ; Learning vector quantization=0.66222 ; Algorithm=0.4674 ; Artificial intelligence=0.47477 ; Machine learning=0.47043 ; Computational complexity theory=0.54939 ; ,2002,A,AI,ml
3475,3475,3475,3475,39869.0,Fuzzy target tracking control of autonomous mobile robots by using infrared sensors,T.-H.S. LiShih-Jie Chang ; Wei Tong ; ,158,10.1109/TFUZZ.2004.832526,,,IEEE Transactions on Fuzzy Systems,Obstacle avoidance=0.54936 ; Robot control=0.62994 ; Computer vision=0.45934 ; Control theory=0.45159 ; Fuzzy logic=0.53291 ; Tracking system=0.55465 ; Control unit=0.49949 ; Artificial intelligence=0.0 ; Fuzzy control system=0.56434 ; Mathematics=0.3309 ; Trajectory=0.46662 ; Mobile robot=0.61997 ; ,2004,B,AI,ml
3476,3476,3476,3476,39870.0,Fast and accurate SLAM with Rao-Blackwellized particle filters,Giorgio GrisettiGian Diego Tipaldi ; Cyrill Stachniss ; Wolfram Burgard ; Daniele Nardi ; ,104,10.1016/j.robot.2006.06.007,,,Robotics and Autonomous Systems,Grid reference=0.48992 ; Computer vision=0.46012 ; Computer science=0.43413 ; Simulation=0.44238 ; Particle filter=0.62277 ; Filter (signal processing)=0.523 ; Artificial intelligence=0.0 ; Simultaneous localization and mapping=0.66701 ; Monte Carlo localization=0.65656 ; Particle=0.47683 ; Mobile robot=0.50292 ; Speedup=0.474 ; ,2007,B,AI,ml
3477,3477,3477,3477,39872.0,Spectral Regularization Algorithms for Learning Large Incomplete Matrices,Rahul MazumderTrevor Hastie ; Robert Tibshirani ; ,606,,,,Journal of Machine Learning Research,Singular value decomposition=0.57914 ; Matrix completion=0.619 ; Matrix (mathematics)=0.5679 ; Algorithm=0.47404 ; Matrix norm=0.5806 ; Regular polygon=0.46393 ; Regularization (mathematics)=0.53077 ; Sparse matrix=0.5779 ; Mathematics=0.40771 ; Regularization perspectives on support vector machines=0.62987 ; ,2010,A,None,mo
3478,3478,3478,3478,39876.0,Linear-time inference in Hierarchical HMMs,Kevin P. MurphyMark A. Paskin ; ,180,,,,Neural Information Processing Systems,Forward–backward algorithm=0.5773 ; Forward algorithm=0.59012 ; Inference=0.56599 ; Computer science=0.43055 ; Markov model=0.57861 ; Hierarchical hidden Markov model=0.65294 ; Artificial intelligence=0.0 ; Hidden Markov model=0.58249 ; Machine learning=0.44908 ; Hidden semi-Markov model=0.61032 ; Dynamic Bayesian network=0.59116 ; ,2001,A,ML,mo
3479,3479,3479,3479,39877.0,An algorithmic approach for fuzzy inference,C.J. Kim,113,10.1109/91.649911,,,IEEE Transactions on Fuzzy Systems,Defuzzification=0.69393 ; Fuzzy classification=0.69743 ; Fuzzy set operations=0.65502 ; Fuzzy logic=0.65768 ; Fuzzy set=0.66809 ; Artificial intelligence=0.0 ; Type-2 fuzzy sets and systems=0.6468 ; Fuzzy number=0.69905 ; Membership function=0.6763 ; Machine learning=0.46175 ; Mathematics=0.41881 ; ,1997,B,ML,mo
3480,3480,3480,3480,39881.0,Using EEG spectral components to assess algorithms for detecting fatigue,Budi Thomas JapSara Lal ; Peter Fischer ; Evangelos Bekiaris ; ,260,10.1016/j.eswa.2007.12.043,,,Expert Systems With Applications,Computer science=0.29916 ; Algorithm=0.35232 ; Accident prevention=0.0 ; Electroencephalography=0.41338 ; ,2009,B,None,ml
3481,3481,3481,3481,39884.0,Intrusion Detection with Neural Networks,Jake RyanMeng-Jang Lin ; Risto Miikkulainen ; ,373,,,,Neural Information Processing Systems,Data mining=0.45184 ; Crime scene=0.4527 ; Computer science=0.44742 ; Anomaly-based intrusion detection system=0.64857 ; Time delay neural network=0.57832 ; System administrator=0.51275 ; Artificial intelligence=0.0 ; Constant false alarm rate=0.48003 ; Artificial neural network=0.5222 ; Backpropagation=0.50235 ; Intrusion detection system=0.62676 ; Machine learning=0.45576 ; ,1997,A,ML,ml
3482,3482,3482,3482,39901.0,Pattern classification with missing data: a review,Pedro J. García-LaencinaJosé-Luis Sancho-Gómez ; Aníbal R. Figueiras-Vidal ; ,230,10.1007/s00521-009-0295-6,,,Neural Computing and Applications,Statistical learning theory=0.56032 ; Document classification=0.5906 ; Computer science=0.43754 ; Feature (machine learning)=0.63107 ; Artificial intelligence=0.0 ; Missing data=0.63826 ; Biometrics=0.46708 ; Artificial neural network=0.49644 ; Statistical theory=0.44275 ; Medical diagnosis=0.47901 ; Machine learning=0.46426 ; ,2010,B,AI,ml
3483,3483,3483,3483,39902.0,Image Denoising and Inpainting with Deep Neural Networks,Junyuan XieLinli Xu ; Enhong Chen ; ,579,,,,Neural Information Processing Systems,Noise reduction=0.45553 ; Computer science=0.4266 ; A priori and a posteriori=0.46468 ; Artificial intelligence=0.0 ; Missing data=0.4462 ; Computer vision=0.46373 ; Pattern recognition=0.46796 ; Neural coding=0.49154 ; Inpainting=0.65752 ; Pixel=0.48077 ; Image denoising=0.0 ; Feature learning=0.53946 ; Machine learning=0.45186 ; ,2012,A,AI,ml
3484,3484,3484,3484,39927.0,PLOW: a collaborative task learning agent,James AllenNathanael Chambers ; George Ferguson ; Lucian Galescu ; Hyuckchul Jung ; Mary Swift ; William Taysom ; ,118,,,,National Conference on Artificial Intelligence,Knowledge representation and reasoning=0.59858 ; Multi-task learning=0.6222 ; Collaborative learning=0.66875 ; Computer science=0.45006 ; Natural language understanding=0.56897 ; Task learning=0.0 ; Artificial intelligence=0.0 ; Error-driven learning=0.0 ; Machine learning=0.4512 ; Executable=0.54717 ; ,2007,C,ML,ml
3485,3485,3485,3485,39939.0,Adaptive Subgradient Methods for Online Learning and Stochastic Optimization,John DuchiElad Hazan ; Yoram Singer ; ,3859,,,,Journal of Machine Learning Research,Online learning=0.0 ; Online machine learning=0.62714 ; Stochastic optimization=0.56795 ; Mathematical optimization=0.46675 ; Subgradient method=0.69263 ; Regret=0.45975 ; Empirical risk minimization=0.58845 ; Regularization (mathematics)=0.4867 ; Artificial intelligence=0.0 ; Hindsight bias=0.41396 ; Mathematics=0.38679 ; Machine learning=0.457 ; ,2011,A,ML,mo
3486,3486,3486,3486,39942.0,Genetic algorithm-based strategy for identifying association rules without specifying actual minimum support,Xiaowei YanChengqi Zhang ; Shichao Zhang ; ,160,10.1016/j.eswa.2008.01.028,,,Expert Systems With Applications,Data mining=0.47149 ; Association rule discovery=0.0 ; Computer science=0.45985 ; Automation=0.47204 ; Fitness function=0.58062 ; FSA-Red Algorithm=0.63154 ; Association rule learning=0.59211 ; Artificial intelligence=0.0 ; Genetic algorithm=0.55377 ; Machine learning=0.47227 ; Encoding (memory)=0.46692 ; Computation=0.46534 ; ,2009,B,ML,ml
3487,3487,3487,3487,39949.0,`N-Body' Problems in Statistical Learning,Alexander G. GrayAndrew W. Moore ; ,222,,,,Neural Information Processing Systems,Anomaly detection=0.50292 ; Suite=0.41755 ; Computer science=0.44987 ; Generalization=0.49474 ; Artificial intelligence=0.0 ; Artificial neural network=0.50323 ; Hidden Markov model=0.47269 ; Scaling=0.43961 ; Machine learning=0.45988 ; Computation=0.48488 ; Kernel density estimation=0.5146 ; ,2000,A,ML,ml
3488,3488,3488,3488,39951.0,An axiomatic approach of the discrete Choquet integral as a tool to aggregate interacting criteria,J.-L. Marichal,281,10.1109/91.890347,,,IEEE Transactions on Fuzzy Systems,Mathematical optimization=0.44857 ; Axiomatic system=0.5355 ; Axiom=0.5008 ; Fuzzy measure theory=0.58922 ; Weighted sum model=0.53929 ; Operator (computer programming)=0.49585 ; Decision theory=0.49069 ; Choquet integral=0.6756 ; Mathematics=0.41922 ; Weighted arithmetic mean=0.54097 ; ,2000,B,None,mo
3489,3489,3489,3489,39956.0,Opponent modeling in poker,Darse BillingsDenis Papp ; Jonathan Schaeffer ; Duane Szafron ; ,125,,,,National Conference on Artificial Intelligence,Imperfect=0.4226 ; Texas hold 'em=0.63049 ; Deception=0.49423 ; Computer science=0.44513 ; Exploit=0.47522 ; Risk management=0.4569 ; Artificial intelligence=0.45024 ; Adversary=0.42513 ; Machine learning=0.44482 ; ,1998,C,AI,ml
3490,3490,3490,3490,39957.0,Hilbert space embeddings of conditional distributions with applications to dynamical systems,Le SongJonathan Huang ; Alex Smola ; Kenji Fukumizu ; ,133,10.1145/1553374.1553497,,,International Conference on Machine Learning,Conditional probability distribution=0.59684 ; Computer science=0.4233 ; Regular conditional probability=0.60149 ; Artificial intelligence=0.0 ; Kernel (linear algebra)=0.48018 ; Hilbert space=0.52934 ; Discrete mathematics=0.45498 ; Embedding=0.53508 ; Pattern recognition=0.42519 ; Kernel embedding of distributions=0.63328 ; Pure mathematics=0.46185 ; Nonparametric statistics=0.47608 ; Dynamical systems theory=0.57842 ; ,2009,A,None,ml
3491,3491,3491,3491,39972.0,Semi-supervised Learning on Directed Graphs,Dengyong ZhouThomas Hofmann ; Bernhard Schölkopf ; ,150,,,,Neural Information Processing Systems,Computer science=0.44124 ; Directed graph=0.65749 ; Directed acyclic graph=0.62472 ; Null graph=0.61458 ; Artificial intelligence=0.0 ; Random geometric graph=0.61609 ; Dependency graph=0.61231 ; Moral graph=0.6207 ; Graph (abstract data type)=0.65118 ; Feedback arc set=0.61021 ; Machine learning=0.45884 ; ,2004,A,ML,ml
3492,3492,3492,3492,39975.0,"Time-dependent differential inclusions, cocycle attractors and fuzzy differential equations",P. Diamond,115,10.1109/91.811243,,,IEEE Transactions on Fuzzy Systems,Attractor=0.53417 ; Differential inclusion=0.66405 ; Differential equation=0.62563 ; Applied mathematics=0.46431 ; Mathematical analysis=0.45416 ; Control theory=0.43172 ; Fuzzy logic=0.56931 ; Fuzzy set=0.56281 ; Dynamical systems theory=0.63073 ; Fuzzy differential equations=0.0 ; Delay differential equation=0.65105 ; Mathematics=0.41312 ; ,1999,B,None,mo
3493,3493,3493,3493,39976.0,Statistical debugging: simultaneous identification of multiple bugs,Alice X. ZhengMichael I. Jordan ; Ben Liblit ; Mayur Naik ; Alex Aiken ; ,117,10.1145/1143844.1143983,,,International Conference on Machine Learning,Shotgun debugging=0.65211 ; Voting=0.41639 ; Software debugging=0.0 ; Suite=0.45448 ; Computer science=0.46022 ; Artificial intelligence=0.0 ; Sampling (statistics)=0.42991 ; Machine learning=0.45757 ; Algorithmic program debugging=0.71252 ; Debugging=0.64762 ; ,2006,A,ML,ml
3494,3494,3494,3494,39977.0,Dynamic Ontologies on the Web,Jeff HeflinJames A. Hendler ; ,294,,,,National Conference on Artificial Intelligence,Ontology (information science)=0.62583 ; Ontology-based data integration=0.62009 ; World Wide Web=0.46472 ; Process ontology=0.61887 ; Computer science=0.44447 ; IDEF5=0.61768 ; Web modeling=0.61882 ; Social Semantic Web=0.61677 ; Ontology components=0.63199 ; Web Ontology Language=0.6404 ; ,2000,C,None,ml
3495,3495,3495,3495,39979.0,"A Probabilistic Analysis of EM for Mixtures of Separated, Spherical Gaussians",Sanjoy DasguptaLeonard Schulman ; ,105,,,,Journal of Machine Learning Research,Pattern recognition=0.44419 ; Expectation–maximization algorithm=0.5225 ; Probabilistic analysis of algorithms=0.52958 ; Artificial intelligence=0.0 ; Mathematics=0.40284 ; Machine learning=0.42036 ; ,2007,A,ML,ml
3496,3496,3496,3496,39984.0,Changing the rules: a comprehensive approach to theory refinement,Dirk OurstonRaymond J. Mooney ; ,121,,,,National Conference on Artificial Intelligence,Computer science=0.46698 ; Expert system=0.57511 ; Artificial intelligence=0.47074 ; Machine learning=0.4646 ; ,1990,C,AI,ml
3497,3497,3497,3497,39997.0,On the interpretation and identification of dynamic Takagi-Sugeno fuzzy models,T.A. JohansenR. Shorten ; R. Murray-Smith ; ,272,10.1109/91.855918,,,IEEE Transactions on Fuzzy Systems,Affine transformation=0.52763 ; Mathematical optimization=0.46205 ; Nonlinear system=0.47714 ; Parametrization=0.4521 ; Control theory=0.45635 ; Fuzzy logic=0.5406 ; Fuzzy set=0.54257 ; Mathematics=0.39755 ; Linearization=0.50659 ; Parameter identification problem=0.57188 ; Design of experiments=0.45072 ; ,2000,B,None,mo
3498,3498,3498,3498,40017.0,Using Machine Learning to Break Visual Human Interaction Proofs (HIPs),Kumar ChellapillaPatrice Y. Simard ; ,203,,,,Neural Information Processing Systems,Multi-task learning=0.6581 ; Active learning (machine learning)=0.666 ; Segmentation=0.46523 ; Computer science=0.46378 ; Human interaction=0.0 ; Mathematical proof=0.46171 ; Artificial intelligence=0.47132 ; Computational learning theory=0.6576 ; CAPTCHA=0.45751 ; Machine learning=0.46943 ; ,2004,A,ML,ml
3499,3499,3499,3499,40019.0,Deterministic annealing for semi-supervised kernel machines,Vikas SindhwaniS. Sathiya Keerthi ; Olivier Chapelle ; ,110,10.1145/1143844.1143950,,,International Conference on Machine Learning,Kernel (linear algebra)=0.50595 ; Transduction (machine learning)=0.53623 ; Mathematical optimization=0.46485 ; Global optimization=0.56966 ; Computer science=0.44648 ; Support vector machine=0.54525 ; Maxima and minima=0.49523 ; Artificial intelligence=0.0 ; Statistical classification=0.50613 ; Convex optimization=0.54856 ; Optimization problem=0.59939 ; Machine learning=0.46088 ; ,2006,A,ML,mo
3500,3500,3500,3500,40028.0,Learning Factor Graphs in Polynomial Time and Sample Complexity,Pieter AbbeelDaphne Koller ; Andrew Y. Ng ; ,132,,,,Journal of Machine Learning Research,Factor graph=0.54976 ; PH=0.60281 ; Polynomial=0.58028 ; Markov chain=0.52562 ; Bayesian network=0.56288 ; Artificial intelligence=0.0 ; Graphical model=0.60602 ; Time complexity=0.59403 ; Machine learning=0.44908 ; Mathematics=0.43225 ; Bounded function=0.52668 ; ,2006,A,ML,mo
3501,3501,3501,3501,40033.0,AnalogySpace: reducing the dimensionality of common sense knowledge,Robert SpeerCatherine Havasi ; Henry Lieberman ; ,148,,,,National Conference on Artificial Intelligence,Commonsense knowledge=0.58817 ; Dimensionality reduction=0.55474 ; Computer science=0.45224 ; Curse of dimensionality=0.51509 ; Semantic network=0.56676 ; Artificial intelligence=0.46377 ; Analogy=0.52841 ; Knowledge base=0.56857 ; Universality (philosophy)=0.43788 ; Machine learning=0.45782 ; ,2008,C,AI,ml
3502,3502,3502,3502,40037.0,The Concave-Convex Procedure (CCCP),Alan L YuilleAnand Rangarajan ; ,288,,,,Neural Information Processing Systems,Monotonic function=0.48247 ; Mathematical optimization=0.46121 ; Force field (chemistry)=0.46405 ; Global optimization=0.5411 ; Computer science=0.41947 ; Dynamical systems theory=0.49162 ; Discrete time and continuous time=0.48026 ; Generalized iterative scaling=0.5527 ; Optimization problem=0.5442 ; Legendre transformation=0.49384 ; ,2001,A,None,mo
3503,3503,3503,3503,40048.0,Learning structural SVMs with latent variables,Chun-Nam John YuThorsten Joachims ; ,533,10.1145/1553374.1553523,,,International Conference on Machine Learning,Coreference=0.51897 ; Pattern recognition=0.46777 ; Computer science=0.45097 ; Support vector machine=0.52565 ; Latent variable=0.60888 ; Probabilistic latent semantic analysis=0.71125 ; Artificial intelligence=0.0 ; Optimization problem=0.55942 ; Generality=0.47934 ; Machine learning=0.47844 ; ,2009,A,ML,ml
3504,3504,3504,3504,40064.0,Mine blast algorithm: A new population based algorithm for solving constrained engineering optimization problems,Ali SadollahArdeshir Bahreininejad ; Hadi Eskandar ; Mohd Hamdi ; ,242,10.1016/j.asoc.2012.11.026,,,Applied Soft Computing,New population=0.0 ; Population=0.5515 ; Mathematical optimization=0.46524 ; Global optimization=0.57824 ; Algorithm=0.4462 ; Engineering design process=0.51712 ; Artificial intelligence=0.45034 ; Engineering optimization=0.68125 ; Mathematics=0.39871 ; Constrained optimization=0.57018 ; Metaheuristic=0.61241 ; ,2013,B,AI,mo
3505,3505,3505,3505,40066.0,Fuzzy AHP-based decision support system for selecting ERP systems in textile industry by using balanced scorecard,Ufuk Cebeci,255,10.1016/j.eswa.2008.11.046,,,Expert Systems With Applications,Request for proposal=0.49364 ; Performance indicator=0.53931 ; Enterprise resource planning=0.52338 ; Computer science=0.43679 ; Knowledge management=0.45429 ; Balanced scorecard=0.54698 ; Strategic management=0.4784 ; Artificial intelligence=0.0 ; Analytic hierarchy process=0.52694 ; Business operations=0.46941 ; Decision support system=0.50609 ; Machine learning=0.42872 ; Process management=0.46431 ; ,2009,B,ML,ml
3506,3506,3506,3506,40068.0,Fast Image Deconvolution using Hyper-Laplacian Priors,Dilip KrishnanRob Fergus ; ,642,,,,Neural Information Processing Systems,Lookup table=0.48998 ; Mathematical optimization=0.42304 ; Deblurring=0.57573 ; Image processing=0.52894 ; Deconvolution=0.56014 ; Iteratively reweighted least squares=0.55124 ; Quartic function=0.48845 ; Pixel=0.48599 ; Artificial intelligence=0.0 ; Prior probability=0.48379 ; Machine learning=0.40289 ; Mathematics=0.39324 ; ,2009,A,ML,mo
3507,3507,3507,3507,40069.0,The Effective Number of Parameters: An Analysis of Generalization and Regularization in Nonlinear Learning Systems,John E. Moody,392,,,,Neural Information Processing Systems,Monte Carlo method=0.4653 ; Nonlinear system=0.47021 ; Radial basis function=0.46193 ; Akaike information criterion=0.50215 ; Regularization (mathematics)=0.46812 ; Mallows's Cp=0.52361 ; Artificial intelligence=0.0 ; Perceptron=0.45291 ; Machine learning=0.38117 ; Mathematics=0.4232 ; Test set=0.53414 ; ,1991,A,ML,ml
3508,3508,3508,3508,40072.0,On the Consistency of Feature Selection using Greedy Least Squares Regression,Tong Zhang,132,,,,Journal of Machine Learning Research,Least squares=0.54763 ; Pattern recognition=0.43248 ; Feature selection=0.57654 ; Noise level=0.0 ; Lasso (statistics)=0.58105 ; Greedy algorithm=0.61744 ; Design matrix=0.51145 ; Artificial intelligence=0.0 ; Mathematics=0.41492 ; Sample size determination=0.4707 ; Eigenvalues and eigenvectors=0.47558 ; ,2009,A,ML,mo
3509,3509,3509,3509,40087.0,Building classifiers using Bayesian networks,Nir FriedmanMoises Goldszmidt ; ,164,,,,National Conference on Artificial Intelligence,Bayesian inference=0.6134 ; Naive Bayes classifier=0.75715 ; Computer science=0.43025 ; Bayes factor=0.62279 ; Supervised learning=0.61083 ; Bayesian programming=0.67068 ; Artificial intelligence=0.45485 ; Binary Independence Model=0.6022 ; Bayes error rate=0.63471 ; Bayes classifier=0.65493 ; Machine learning=0.46196 ; ,1996,C,ML,ml
3510,3510,3510,3510,40100.0,Deep Recursive Neural Networks for Compositionality in Language,Ozan IrsoyClaire Cardie ; ,148,,,,Neural Information Processing Systems,Principle of compositionality=0.49921 ; Multiplicative function=0.41625 ; Sentiment analysis=0.5121 ; Computer science=0.44604 ; Deep belief network=0.62752 ; Recurrent neural network=0.59602 ; Natural language=0.50103 ; Artificial intelligence=0.46722 ; Artificial neural network=0.53971 ; Recursion=0.49662 ; Machine learning=0.46299 ; ,2014,A,AI,ml
3511,3511,3511,3511,40109.0,Recurrent Models of Visual Attention,Volodymyr MnihNicolas Heess ; Alex Graves ; koray kavukcuoglu ; ,473,,,,Neural Information Processing Systems,Computer vision=0.47497 ; Convolutional neural network=0.64387 ; Computer science=0.43739 ; Recurrent neural network=0.60703 ; Pixel=0.50625 ; Artificial intelligence=0.0 ; Deep learning=0.65358 ; Contextual image classification=0.54143 ; Image resolution=0.51088 ; Visual control=0.49336 ; Machine learning=0.46395 ; Reinforcement learning=0.5069 ; ,2014,A,ML,ml
3512,3512,3512,3512,40121.0,Learning precise timing with lstm recurrent networks,Felix A. GersNicol N. Schraudolph ; Jürgen Schmidhuber ; ,634,10.1162/153244303768966139,,,Journal of Machine Learning Research,Computational Science and Engineering=0.0 ; Computer science=0.41772 ; Long short term memory=0.0 ; Recurrent neural network=0.53278 ; Motor control=0.42746 ; Artificial intelligence=0.0 ; Hidden Markov model=0.47641 ; Rhythm=0.40834 ; Machine learning=0.43916 ; ,2003,A,ML,ml
3513,3513,3513,3513,40128.0,Second Order Cone Programming Approaches for Handling Missing and Uncertain Data,Pannagadatta K. ShivaswamyChiranjib Bhattacharyya ; Alexander J. Smola ; ,170,,,,Journal of Machine Learning Research,Second-order cone programming=0.54736 ; Mathematical optimization=0.46065 ; Regression=0.46996 ; Regression analysis=0.5023 ; Uncertain data=0.54027 ; Artificial intelligence=0.0 ; Missing data=0.56785 ; Imputation (statistics)=0.55865 ; Machine learning=0.45173 ; Mathematics=0.40982 ; Data reduction=0.41157 ; Method of moments (statistics)=0.47256 ; ,2006,A,ML,ml
3514,3514,3514,3514,40130.0,Independent Component Analysis for Identification of Artifacts in Magnetoencephalographic Recordings,Ricardo VigárioVeikko Jousmäki ; Matti Hämäläinen ; Riitta Hari ; Erkki Oja ; ,204,,,,Neural Information Processing Systems,Computer vision=0.40515 ; Computer science=0.3372 ; Muscular tension=0.0 ; Eye movement=0.41244 ; Independent component analysis=0.50729 ; Artificial intelligence=0.0 ; Saccadic masking=0.48057 ; Magnetoencephalography=0.45603 ; Kurtosis=0.42625 ; ,1997,A,AI,ml
3515,3515,3515,3515,40138.0,A new approach to fuzzy-neural system modeling,Yinghua LinG.A. Cunningham ; ,444,10.1109/91.388173,,,IEEE Transactions on Fuzzy Systems,Continuous function=0.48018 ; Computer science=0.45272 ; Fuzzy logic=0.58804 ; Network simulation=0.61175 ; Systems modeling=0.54712 ; Artificial intelligence=0.0 ; Fuzzy control system=0.57381 ; Artificial neural network=0.52698 ; Machine learning=0.46489 ; Network model=0.56432 ; ,1995,B,ML,ml
3516,3516,3516,3516,40142.0,Uncertainty bounds and their use in the design of interval type-2 fuzzy logic systems,Hongwei WuJ.M. Mendel ; ,390,10.1109/TFUZZ.2002.803496,,,IEEE Transactions on Fuzzy Systems,Fuzzy logic system=0.0 ; Mathematical optimization=0.46679 ; Iterative method=0.51752 ; Fuzzy logic=0.69272 ; Fuzzy set=0.66033 ; Artificial intelligence=0.0 ; Fuzzy control system=0.61662 ; Forecasting theory=0.0 ; Uncertain systems=0.0 ; Mathematics=0.42013 ; Machine learning=0.45275 ; Computation=0.46347 ; ,2002,B,ML,mo
3517,3517,3517,3517,40158.0,The Wasabi Personal Shopper: a case-based recommender system,Robin Burke,102,,,,National Conference on Artificial Intelligence,Recommender system=0.51948 ; Web Processing Service=0.69582 ; World Wide Web=0.47391 ; Electronic product=0.0 ; Computer science=0.45984 ; Full text search=0.5414 ; Information access=0.52001 ; Software=0.48898 ; Query formulation=0.0 ; ,1999,C,None,ml
3518,3518,3518,3518,40161.0,FSVM-CIL: Fuzzy Support Vector Machines for Class Imbalance Learning,Rukshan BatuwitaVasile Palade ; ,204,10.1109/TFUZZ.2010.2042721,,,IEEE Transactions on Fuzzy Systems,Noise reduction=0.45873 ; Pattern recognition=0.45033 ; Effective method=0.41394 ; Computer science=0.41609 ; Support vector machine=0.53226 ; Fuzzy logic=0.46984 ; Outlier=0.45558 ; Fuzzy set=0.47186 ; Artificial intelligence=0.0 ; Fuzzy support vector machine=0.0 ; Support vector machine classification=0.0 ; Machine learning=0.45039 ; ,2010,B,ML,ml
3519,3519,3519,3519,40166.0,Exploiting the Cost (In)sensitivity of Decision Tree Splitting Criteria,Chris DrummondRobert C. Holte ; ,154,,,,International Conference on Machine Learning,Decision tree=0.65203 ; Pattern recognition=0.44539 ; Computer science=0.44165 ; Artificial intelligence=0.0 ; ID3 algorithm=0.69839 ; Machine learning=0.4589 ; Decision tree learning=0.66756 ; Incremental decision tree=0.75516 ; Pruning=0.45984 ; ,2000,A,ML,ml
3520,3520,3520,3520,40171.0,Tiled convolutional neural networks,Jiquan NgiamZhenghao Chen ; Daniel Chia ; Pang W. Koh ; Quoc V. Le ; Andrew Y. Ng ; ,213,,,,Neural Information Processing Systems,Rotational invariance=0.47408 ; Invariant (physics)=0.45284 ; Convolution=0.45592 ; Convolutional neural network=0.55665 ; Computer science=0.43629 ; Theoretical computer science=0.45512 ; Invariant (mathematics)=0.4552 ; Artificial intelligence=0.0 ; Artificial neural network=0.528 ; Machine learning=0.44914 ; Cognitive neuroscience of visual object recognition=0.4681 ; Scalability=0.47238 ; ,2010,A,ML,ml
